"totalcheckouts","title","author","callnumber","lastcheckoutdate","itypecode","locationcode"
"39","Dead trigger","","|aDVD D ACTION/ADVENTURE","2020-01-19 16:40:13-06",12,"advdf"
"39","SPL Lab Tech","","|aNintendo Switch Pro Controller GAM16-R2","2020-01-29 17:25:35-06",55,"jlte "
"38","SPL Lab Tech","","|aNintendo Switch Controller #2 - Black/Black LAB01-B","2020-01-27 17:50:10-06",55,"jlte "
"38","SPL Lab Tech","","|aNintendo Switch Pro Controller GAM16-R1","2020-01-30 19:14:26-06",55,"jlte "
"38","SPL Technology Equipment","","|aDry erase markers and eraser #4","2019-12-14 16:34:45-06",25,"ate  "
"36","Holy lands.","","|aDVD H DRAMA","2020-01-23 15:38:18-06",12,"advdf"
"36","I'll take your dead.","","|aDVD I HORROR","2020-01-21 12:58:11-06",12,"advdf"
"36","Genesis 2.0","","|a569.67 GEN","2020-01-07 15:58:06-06",13,"advdn"
"35","The souvenir","","|aDVD S DRAMA","2020-01-19 12:28:00-06",23,"advh "
"35","The poison rose","","|aDVD P DRAMA","2020-01-23 13:08:10-06",12,"advdf"
"35","Le retour du héros = Return of the hero","","|aDVD R WORLD (FRENCH)","2020-01-12 16:09:13-06",12,"advdf"
"35","American exit.","","|aDVD A ACTION/ADVENTURE","2020-01-19 16:34:44-06",12,"advdf"
"35","Luisa Spagnoli","","|aLUI","2020-01-22 20:01:04-06",12,"advv "
"34","Ambushed.","","|aDVD A ACTION/ADVENTURE","2020-01-21 14:48:50-06",12,"advdf"
"34","Avengement.","","|aDVD A ACTION/ADVENTURE","2020-01-25 12:36:40-06",12,"advdf"
"34","Never look away","","|aDVD N WORLD (GERMAN)","2020-01-26 15:51:17-06",12,"advdf"
"34","Family","","|aDVD F COMEDY","2020-01-21 09:21:45-06",12,"advdf"
"34","An acceptable loss.","","|aDVD A DRAMA","2019-12-30 20:14:03-06",12,"advdf"
"34","No man's land","","|aDVD N WESTERN","2020-01-20 15:53:46-06",12,"advdf"
"34","Teen beach movie 2.","","|aDVD T","2020-01-24 20:42:05-06",38,"jdvdf"
"33","Trial by fire.","","|aDVD T DRAMA","2020-01-28 16:47:25-06",12,"advdf"
"33","SPL Technology Equipment","","|aDell Latitude Laptop #9","2019-12-16 14:16:38-06",25,"ate  "
"33","Big brother.","","|aDVD B WORLD (CHINESE)","2020-01-11 12:03:48-06",12,"advdf"
"33","Royal hearts","","|aROY","2020-01-15 19:34:53-06",12,"advv "
"33","Manhunt","","|aMAN SEASON 1","2020-01-20 09:12:08-06",12,"advv "
"33","Shadow wolves","","|aDVD S ACTION/ADVENTURE","2020-01-25 12:19:16-06",12,"advdf"
"33","D-Day assassins","","|aDVD D ACTION/ADVENTURE","2020-01-22 12:36:17-06",12,"advdf"
"33","Viking blood.","","|aDVD V ACTION/ADVENTURE","2020-01-28 13:35:57-06",12,"advdf"
"33","A summer to remember.","","|aSUM","2020-01-22 17:59:20-06",12,"advv "
"32","T-34","","|aDVD T WORLD (RUSSIAN)","2020-01-10 16:04:27-06",12,"advdf"
"32","Breakthrough","","|aDVD B DRAMA","2020-01-15 11:55:43-06",12,"advdf"
"32","Teen beach movie 2.","","|aDVD T","2020-01-10 20:49:26-06",38,"jdvdf"
"32","IP Man. Origins.","","|aIP SEASON 2","2020-01-18 17:09:28-06",12,"advv "
"32","Poms","","|aBLU-RAY P COMEDY","2020-01-10 17:26:10-06",12,"abdf "
"32","Captain Marleau. Volume 1","","|aCAP VOLUME 1","2019-12-30 10:30:34-06",12,"advv "
"32","Tell it to the bees.","","|aDVD T DRAMA","2020-01-06 13:20:14-06",12,"advdf"
"32","The command.","","|aDVD C ACTION/ADVENTURE","2020-01-10 15:42:41-06",12,"advdf"
"32","Love at the shore.","","|aLOV","2020-01-17 13:55:09-06",12,"advv "
"32","Under the Silver Lake.","","|aDVD U DRAMA","2020-01-16 10:06:47-06",12,"advdf"
"32","Charlie says","","|aDVD C DRAMA","2020-01-28 10:03:12-06",12,"advdf"
"32","Captive state","","|aDVD C SF/FANTASY","2020-01-13 14:46:49-06",12,"advdf"
"32","Styx","","|aDVD S DRAMA","2020-01-07 09:50:31-06",12,"advdf"
"31","An acceptable loss.","","|aDVD A DRAMA","2020-01-20 14:37:54-06",12,"advdf"
"31","Manhunt","","|aMAN SEASON 1","2020-01-09 14:46:23-06",12,"advv "
"31","The poison rose","","|aDVD P DRAMA","2020-01-13 17:36:27-06",12,"advdf"
"31","Little Woods.","","|aDVD L DRAMA","2020-01-25 12:21:16-06",12,"advdf"
"31","Run.","","|aDVD R DRAMA","2020-01-21 16:14:26-06",12,"advdf"
"31","Trial by fire.","","|aDVD T DRAMA","2020-01-13 16:11:00-06",12,"advdf"
"31","Never grow old","","|aDVD N WESTERN","2019-12-23 10:33:19-06",12,"advdf"
"31","The last whistle.","","|aDVD L DRAMA","2020-01-23 10:39:27-06",12,"advdf"
"31","Innocent","","|aINN","2020-01-02 15:32:03-06",12,"advv "
"31","Saint Judy","","|aDVD S DRAMA","2019-12-23 09:25:10-06",12,"advdf"
"31","The professor","","|aDVD P COMEDY","2020-01-28 13:35:45-06",12,"advdf"
"31","Bundy and the Green River Killer","","|aDVD B DRAMA","2020-01-18 16:32:33-06",12,"advdf"
"31","Slaughterhouse rulez","","|aDVD S ACTION/ADVENTURE","2020-01-12 16:10:16-06",12,"advdf"
"31","The vault","","|aDVD V HORROR","2019-12-27 20:04:51-06",12,"advdf"
"31","Saint Judy","","|aDVD S DRAMA","2020-01-08 11:08:30-06",12,"advdf"
"31","Abduction.","","|aDVD A ACTION/ADVENTURE","2020-01-21 10:00:06-06",12,"advdf"
"31","All is true.","","|aDVD A DRAMA","2020-01-06 20:59:37-06",12,"advdf"
"31","The man who killed Don Quixote","","|aDVD M ACTION/ADVENTURE","2019-12-28 17:48:14-06",12,"advdf"
"31","We have always lived in the castle","","|aDVD W HORROR","2020-01-06 18:30:04-06",12,"advdf"
"31","Avengement.","","|aDVD A ACTION/ADVENTURE","2020-01-11 17:48:53-06",12,"advdf"
"31","Crypto.","","|aDVD C DRAMA","2020-01-06 20:53:40-06",12,"advdf"
"31","SPL Lab Tech","","|aXbox One Controller GAM04-C","2020-01-28 18:08:31-06",55,"jlte "
"31","Crypto.","","|aDVD C DRAMA","2020-01-08 18:07:01-06",12,"advdf"
"31","Mia and the white lion : quest for freedom","","|aBLU-RAY M ACTION/ADVENTURE","2020-01-04 13:32:57-06",12,"abdf "
"31","We have always lived in the castle","","|aDVD W HORROR","2019-12-26 16:56:58-06",12,"advdf"
"31","Vidago Palace.","","|aVID","2020-01-14 10:19:48-06",12,"advv "
"31","Tolkien","","|aBLU-RAY T DRAMA","2020-01-22 15:38:37-06",12,"abdf "
"31","High life","","|aBLU-RAY H SF/FANTASY","2019-12-30 10:27:56-06",12,"abdf "
"31","Eat, play, love.","","|aEAT","2019-12-29 16:23:03-06",12,"advv "
"31","Las herederas = The heiresses","","|aDVD H WORLD (SPANISH)","2020-01-10 18:37:37-06",12,"advdf"
"30","The sun is also a star","","|aDVD S DRAMA","2020-01-22 18:48:24-06",23,"advh "
"30","Jane Fonda In five acts","","|a791.43028 FON","2020-01-12 12:34:16-06",13,"advdn"
"30","Un beau soleil intérieur = Let the sunshine in","","|aDVD L WORLD (FRENCH)","2020-01-20 16:44:37-06",12,"advdf"
"30","Escape plan : the extractors","","|aDVD E ACTION/ADVENTURE","2020-01-26 17:26:07-06",12,"advdf"
"30","Swinging safari","","|aDVD S COMEDY","2020-01-12 16:08:40-06",12,"advdf"
"30","Tolkien","","|aDVD T DRAMA","2020-01-16 12:36:27-06",12,"advdf"
"30","The unity of heroes","","|aDVD U WORLD (CHINESE)","2020-01-02 18:17:45-06",12,"advdf"
"30","Saint Judy","","|aDVD S DRAMA","2020-01-03 15:15:48-06",12,"advdf"
"30","Tolkien","","|aDVD T DRAMA","2020-01-02 18:16:22-06",12,"advdf"
"30","Amazing grace","","|a782.254 FRA","2020-01-24 15:02:47-06",23,"advh "
"30","Batman. Hush","","|aDVD B SF/FANTASY","2020-01-23 13:57:29-06",12,"advdf"
"30","A violent separation","","|aDVD V DRAMA","2020-01-26 14:31:19-06",12,"advdf"
"30","Long shot","","|aDVD L COMEDY","2020-01-19 12:57:00-06",12,"advdf"
"30","Lost in space. The complete first season","","|aLOS SEASON 1","2019-12-26 10:27:57-06",12,"advv "
"30","All is true.","","|aDVD A DRAMA","2020-01-02 16:30:02-06",12,"advdf"
"30","The souvenir","","|aDVD S DRAMA","2020-01-21 12:20:40-06",12,"advdf"
"30","Escape at Dannemora.","","|aESC","2020-01-22 17:24:57-06",12,"advv "
"30","Vidago Palace.","","|aVID","2020-01-10 14:30:57-06",12,"advv "
"30","Abduction.","","|aDVD A ACTION/ADVENTURE","2020-01-18 13:01:03-06",12,"advdf"
"30","Giant little ones.","","|aDVD G DRAMA","2020-01-17 10:49:02-06",12,"advdf"
"30","The hummingbird project.","","|aDVD H DRAMA","2019-12-29 17:30:04-06",12,"advdf"
"30","Body at Brighton Rock","","|aDVD B DRAMA","2020-01-18 14:10:27-06",12,"advdf"
"30","Donnybrook","","|aDVD D ACTION/ADVENTURE","2020-01-20 17:02:21-06",12,"advdf"
"30","Meeting Gorbachev","","|a947.0854 MEE","2020-01-20 11:53:51-06",13,"advdn"
"30","The souvenir","","|aDVD S DRAMA","2020-01-21 12:49:10-06",12,"advdf"
"30","Long shot","","|aDVD L COMEDY","2020-01-24 12:42:09-06",12,"advdf"
"30","The hummingbird project.","","|aDVD H DRAMA","2020-01-22 18:35:10-06",12,"advdf"
"30","The souvenir","","|aDVD S DRAMA","2020-01-13 11:17:31-06",12,"advdf"
"30","Fast color.","","|aDVD F SF/FANTASY","2020-01-18 10:11:16-06",12,"advdf"
"30","Searching for Ingmar Bergman.","","|a791.43023 BER","2020-01-20 09:31:04-06",13,"advdn"
"30","Breakthrough","","|aDVD B DRAMA","2020-01-15 18:20:18-06",12,"advdf"
"30","The professor and the madman","","|aDVD P DRAMA","2020-01-24 10:29:49-06",12,"advdf"
"30","An acceptable loss.","","|aDVD A DRAMA","2020-01-03 15:28:32-06",12,"advdf"
"30","Unplanned.","","|aDVD U DRAMA","2020-01-21 11:44:33-06",12,"advdf"
"30","Nightmare shark","","|aNIG","2020-01-15 17:14:15-06",12,"advv "
"29","Hail Satan?","","|a261.72 HAI","2020-01-02 12:49:05-06",13,"advdn"
"29","Dogman","","|aDVD D WORLD (ITALIAN)","2019-12-26 18:23:43-06",12,"advdf"
"29","Little Woods.","","|aDVD L DRAMA","2020-01-09 13:53:29-06",12,"advdf"
"29","The third wife","","|aDVD T WORLD (VIETNAMESE)","2020-01-18 14:52:49-06",12,"advdf"
"29","Breakthrough","","|aDVD B DRAMA","2020-01-13 16:44:01-06",12,"advdf"
"29","Searching for Ingmar Bergman.","","|a791.43023 BER","2020-01-23 18:28:50-06",13,"advdn"
"29","Bardo blues.","","|aDVD B DRAMA","2019-12-30 15:36:13-06",12,"advdf"
"29","The hustle","","|aDVD H COMEDY","2020-01-21 18:26:43-06",12,"advdf"
"29","All is true.","","|aDVD A DRAMA","2020-01-02 11:33:14-06",12,"advdf"
"29","El Dorado : search for the lost City of Gold.","","|aDOR","2020-01-03 19:45:22-06",12,"advv "
"29","Unplanned.","","|aDVD U DRAMA","2020-01-20 18:50:55-06",23,"advh "
"29","Shadow","","|aBLU-RAY S WORLD (CHINESE)","2020-01-22 13:31:20-06",12,"abdf "
"29","The poison rose","","|aDVD P DRAMA","2020-01-22 18:57:55-06",12,"advdf"
"29","Domino","","|aDVD D DRAMA","2020-01-23 14:49:11-06",12,"advdf"
"29","Aniara","","|aDVD A WORLD (SWEDISH)","2020-01-26 14:31:14-06",12,"advdf"
"29","Tolkien","","|aDVD T DRAMA","2020-01-18 16:24:51-06",23,"advh "
"29","The Sandhamn murders. Volume 1.","","|aSAN VOLUME 1","2020-01-15 13:14:03-06",12,"advv "
"29","Murdoch mysteries. Season 12.","","|aMUR SEASON 12","2019-12-30 11:33:32-06",12,"advv "
"29","Pokémon Detective Pikachu","","|aDVD P","2020-01-24 16:53:57-06",40,"jdvh "
"29","Mario tennis aces.","","|aNINTENDO SWITCH-M","2020-01-02 16:02:33-06",45,"jvg  "
"29","Clara.","","|aDVD C SF/FANTASY","2020-01-20 09:12:30-06",12,"advdf"
"29","Tell it to the bees.","","|aDVD T DRAMA","2020-01-11 17:57:34-06",12,"advdf"
"29","SPL Technology Equipment","","|aDry erase markers and eraser #6","2019-12-16 16:30:44-06",25,"ate  "
"29","Captain Toad :  treasure tracker.","","|aNINTENDO SWITCH-C","2020-01-04 14:43:14-06",45,"jvg  "
"29","The hummingbird project.","","|aDVD H DRAMA","2020-01-12 16:21:50-06",12,"advdf"
"29","Tom Clancy's Jack Ryan. Season one","","|aJAC SEASON 1","2020-01-24 15:09:49-06",12,"advv "
"29","The flood","","|a577.660968 FLO","2020-01-14 19:34:24-06",13,"advdn"
"29","Pokémon Detective Pikachu","","|aDVD P","2020-01-19 17:24:27-06",40,"jdvh "
"29","Science fair","","|a507.8 SCI","2019-12-26 19:06:08-06",13,"advdn"
"29","Innocent","","|aINN","2020-01-13 12:38:06-06",12,"advv "
"29","Un beau soleil intérieur = Let the sunshine in","","|aDVD L WORLD (FRENCH)","2020-01-06 17:14:19-06",12,"advdf"
"29","Nightmare cinema.","","|aDVD N HORROR","2020-01-28 16:47:22-06",12,"advdf"
"29","All is true.","","|aDVD A DRAMA","2020-01-27 12:36:13-06",12,"advdf"
"29","General commander","","|aDVD G ACTION/ADVENTURE","2019-12-23 19:35:03-06",12,"advdf"
"29","Batman vs Teenage Mutant Ninja Turtles","","|aDVD B SF/FANTASY","2019-12-26 12:01:27-06",12,"advdf"
"29","High life","","|aDVD H SF/FANTASY","2020-01-23 13:14:24-06",12,"advdf"
"29","The upside","","|aDVD U COMEDY","2020-01-16 09:56:37-06",12,"advdf"
"29","Takers","","|aDVD T ACTION/ADVENTURE","2020-01-20 15:44:13-06",12,"advdf"
"29","The command.","","|aDVD C ACTION/ADVENTURE","2020-01-18 14:33:35-06",12,"advdf"
"29","The man who killed Don Quixote","","|aDVD M ACTION/ADVENTURE","2020-01-22 18:35:14-06",12,"advdf"
"29","Mia and the white lion : quest for freedom","","|aDVD M ACTION/ADVENTURE","2019-12-23 18:43:53-06",12,"advdf"
"28","All is true.","","|aDVD A DRAMA","2020-01-17 19:59:57-06",23,"advh "
"28","The white crow","","|aDVD W DRAMA","2020-01-15 09:56:28-06",12,"advdf"
"28","The souvenir","","|aDVD S DRAMA","2019-12-15 16:06:08-06",12,"advdf"
"28","Long shot","","|aDVD L COMEDY","2020-01-18 12:14:08-06",12,"advdf"
"28","Halston","","|a746.92 HAL","2019-12-30 15:50:36-06",13,"advdn"
"28","The team.","","|aTEA SEASON 1","2020-01-22 18:34:00-06",12,"advv "
"28","Takane & Hana","Shiwasu, Yuki, author, artist.","|aTAKANE & HANA PBK","2020-01-08 20:00:33-06",1,"aucg "
"28","Amazing grace","","|a782.254 FRA","2020-01-18 13:30:46-06",13,"advdn"
"28","Aniara","","|aDVD A WORLD (SWEDISH)","2019-12-29 16:22:58-06",12,"advdf"
"28","Strike back. Cinemax season six.","","|aSTR SEASON 6","2020-01-18 16:13:05-06",12,"advv "
"28","Frontier","","|aDVD F WESTERN","2019-12-26 13:01:31-06",12,"advdf"
"28","The white crow","","|aDVD W DRAMA","2020-01-17 19:59:49-06",12,"advdf"
"28","Dead water.","","|aDVD D ACTION/ADVENTURE","2020-01-22 18:32:10-06",12,"advdf"
"28","The tomorrow man","","|aDVD T DRAMA","2020-01-15 12:13:45-06",23,"advh "
"28","Halston","","|a746.92 HAL","2020-01-24 12:42:22-06",13,"advdn"
"28","Pokémon Detective Pikachu","","|aDVD P","2020-01-25 11:54:27-06",40,"jdvh "
"28","Endeavour. The complete sixth season","","|aEND SEASON 6","2019-12-14 17:20:31-06",12,"advv "
"28","The mercy","","|aDVD M DRAMA","2020-01-07 16:31:48-06",12,"advdf"
"28","The souvenir","","|aDVD S DRAMA","2020-01-23 18:28:48-06",23,"advh "
"28","Be natural : the untold story of Alice Guy-Blache.","","|a791.43023 GUY","2020-01-23 09:16:19-06",13,"advdn"
"28","Transit","","|aDVD T WORLD (MULTILINGUAL)","2019-12-20 12:47:49-06",12,"advdf"
"28","Black water.","","|aDVD B ACTION/ADVENTURE","2020-01-14 11:15:24-06",12,"advdf"
"28","Shadow","","|aDVD S WORLD (CHINESE)","2019-12-31 12:05:29-06",12,"advdf"
"28","Murdoch mysteries. Season 12.","","|aMUR SEASON 12","2020-01-11 11:34:46-06",12,"advv "
"28","The last black man in San Francisco.","","|aDVD L DRAMA","2020-01-24 15:01:27-06",12,"advdf"
"28","Motherfatherson.","","|aMOT","2020-01-18 16:04:54-06",12,"advv "
"28","John Wick","","|aDVD J ACTION/ADVENTURE","2020-01-14 15:09:24-06",12,"advdf"
"28","Plus one.","","|aDVD P COMEDY","2020-01-21 11:44:44-06",12,"advdf"
"28","The best of enemies","","|aDVD B DRAMA","2020-01-17 13:31:45-06",12,"advdf"
"28","Kinky","","|aDVD K DRAMA","2020-01-28 12:17:57-06",12,"advdf"
"28","The promised Neverland","Shirai, Kaiu, author.","|aPROMISED NEVERLAND PBK","2020-01-19 13:30:00-06",1,"aucg "
"28","The biggest little farm","","|a630 BIG","2020-01-15 20:45:32-06",13,"abdn "
