ItemType,Title,Author,CopyrightDate,AccessionedDate,OwningLibrary,ReplacementPrice,MissingStatus,MissingDate,CallNumber,Barcode,Bib Marc Tag Number,Bib Marc Subfield Name,Bib Marc Subfield Data
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/22/20,LOOK,179038534,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,JBOARD,2/3/20,LOOK,179040340,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Library 21c,$4.19 ,JBOARD,2/3/20,LOOK,179040340,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Penrose Library,$4.19 ,CHECKEDOUT,1/19/20,LOOK,179040357,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Penrose Library,$4.19 ,CHECKEDOUT,1/19/20,LOOK,179040357,300,c,19 cm
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Penrose Library,$4.19 ,JBOARD,1/6/20,LOOK,179038542,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a submarine! /",,2018,11/1/19,Penrose Library,$4.19 ,JBOARD,1/6/20,LOOK,179038542,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,East Library,$4.19 ,JBOARD,2/3/20,LOOK,179040555,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,East Library,$4.19 ,JBOARD,2/3/20,LOOK,179040555,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Penrose Library,$4.19 ,CHECKEDOUT,1/30/20,LOOK,179040571,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Penrose Library,$4.19 ,CHECKEDOUT,1/30/20,LOOK,179040571,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/22/20,LOOK,179038427,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/22/20,LOOK,179038427,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/30/20,LOOK,179038435,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,1/30/20,LOOK,179038435,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,2/4/20,LOOK,179038443,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Library 21c,$4.19 ,CHECKEDOUT,2/4/20,LOOK,179038443,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/21/20,LOOK,179038401,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/21/20,LOOK,179038401,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/29/20,LOOK,179038393,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,East Library,$4.19 ,CHECKEDOUT,1/29/20,LOOK,179038393,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Calhan Library,$4.19 ,JBOARD,2/1/20,LOOK,179038450,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Calhan Library,$4.19 ,JBOARD,2/1/20,LOOK,179038450,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Penrose Library,$4.19 ,JBOARD,1/30/20,LOOK,179040597,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Penrose Library,$4.19 ,JBOARD,1/30/20,LOOK,179040597,300,c,19 cm
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Rockrimmon Library,$4.19 ,CHECKEDOUT,1/23/20,LOOK,179038419,300,a,1 volume (unpaged) :
JBOOK,"Look, there's a tractor! /",,2019,11/1/19,Rockrimmon Library,$4.19 ,CHECKEDOUT,1/23/20,LOOK,179038419,300,c,19 cm
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Distribution Facility,$5.84 ,CHECKEDOUT,1/27/20,741.5973 DESCENDA VAUG,213507205,300,a,1 volume (unpaged) :
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Distribution Facility,$5.84 ,CHECKEDOUT,1/27/20,741.5973 DESCENDA VAUG,213507205,300,c,23 cm.
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Library 21c,$5.84 ,CHECKEDOUT,2/3/20,741.5973 DESCENDA VAUG,213507189,300,a,1 volume (unpaged) :
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Library 21c,$5.84 ,CHECKEDOUT,2/3/20,741.5973 DESCENDA VAUG,213507189,300,c,23 cm.
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Library 21c,$5.84 ,HOLDS-21C,1/23/20,741.5973 DESCENDA VAUG,213383029,300,a,1 volume (unpaged) :
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Library 21c,$5.84 ,HOLDS-21C,1/23/20,741.5973 DESCENDA VAUG,213383029,300,c,23 cm.
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,East Library,$5.84 ,INTRANSIT,2/4/20,741.5973 DESCENDA VAUG,213507197,300,a,1 volume (unpaged) :
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,East Library,$5.84 ,INTRANSIT,2/4/20,741.5973 DESCENDA VAUG,213507197,300,c,23 cm.
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,East Library,$5.84 ,CHECKEDOUT,2/1/20,741.5973 DESCENDA VAUG,213383037,300,a,1 volume (unpaged) :
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,East Library,$5.84 ,CHECKEDOUT,2/1/20,741.5973 DESCENDA VAUG,213383037,300,c,23 cm.
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Mobile Libraries,$5.84 ,CHECKEDOUT,1/23/20,741.5973 DESCENDA VAUG,213507122,300,a,1 volume (unpaged) :
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Mobile Libraries,$5.84 ,CHECKEDOUT,1/23/20,741.5973 DESCENDA VAUG,213507122,300,c,23 cm.
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Penrose Library,$5.84 ,CHECKEDOUT,1/25/20,741.5973 DESCENDA VAUG,213383045,300,a,1 volume (unpaged) :
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Penrose Library,$5.84 ,CHECKEDOUT,1/25/20,741.5973 DESCENDA VAUG,213383045,300,c,23 cm.
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Sand Creek Library,$5.84 ,CHECKEDOUT,1/18/20,741.5973 DESCENDA VAUG,213507130,300,a,1 volume (unpaged) :
JBOOK,Descendants.,"Vaughn, Jen,",2019,11/1/19,Sand Creek Library,$5.84 ,CHECKEDOUT,1/18/20,741.5973 DESCENDA VAUG,213507130,300,c,23 cm.
JBOOK,Frida Kahlo /,"Thomas, Isabel,",2018,11/1/19,Library 21c,$6.28 ,HOLDS-EAST,2/1/20,759.972 KAHL,213437486,300,a,63 pages :
JBOOK,Frida Kahlo /,"Thomas, Isabel,",2018,11/1/19,Library 21c,$6.28 ,HOLDS-EAST,2/1/20,759.972 KAHL,213437486,300,c,20 cm.
JBOOK,Frida Kahlo /,"Thomas, Isabel,",2018,11/1/19,Rockrimmon Library,$6.28 ,CHECKEDOUT,1/22/20,759.972 KAHL,213437478,300,a,63 pages :
JBOOK,Frida Kahlo /,"Thomas, Isabel,",2018,11/1/19,Rockrimmon Library,$6.28 ,CHECKEDOUT,1/22/20,759.972 KAHL,213437478,300,c,20 cm.
JBOOK,Frida Kahlo /,"Thomas, Isabel,",2018,11/1/19,East Library,$6.28 ,JBIOGRPHY,2/3/20,759.972 KAHL,213437460,300,a,63 pages :
JBOOK,Frida Kahlo /,"Thomas, Isabel,",2018,11/1/19,East Library,$6.28 ,JBIOGRPHY,2/3/20,759.972 KAHL,213437460,300,c,20 cm.
JBOOK,"Just feel : how to be stronger, happier, healthier, and more /","Chopra, Mallika,",2019,11/1/19,Library 21c,$7.60 ,J,2/2/20,152.4 CHOP,213507155,300,a,"xiii, 113 pages :"
JBOOK,"Just feel : how to be stronger, happier, healthier, and more /","Chopra, Mallika,",2019,11/1/19,Library 21c,$7.60 ,J,2/2/20,152.4 CHOP,213507155,300,c,26 cm
JBOOK,"Just feel : how to be stronger, happier, healthier, and more /","Chopra, Mallika,",2019,11/1/19,Library 21c,$7.60 ,CHECKEDOUT,1/26/20,152.4 CHOP,213507163,300,a,"xiii, 113 pages :"
JBOOK,"Just feel : how to be stronger, happier, healthier, and more /","Chopra, Mallika,",2019,11/1/19,Library 21c,$7.60 ,CHECKEDOUT,1/26/20,152.4 CHOP,213507163,300,c,26 cm
JBOOK,"Just feel : how to be stronger, happier, healthier, and more /","Chopra, Mallika,",2019,11/1/19,Library 21c,$7.60 ,CHECKEDOUT,1/23/20,152.4 CHOP,213507148,300,a,"xiii, 113 pages :"
